央视,#genre#
CCTV-15,http://183.162.224.36:35455/mgtv/673168223.m3u8
CCTV-16,http://183.162.224.36:35455/nptv/cctv16.m3u8
CCTV-17,http://183.162.224.36:35455/mgtv/673168256.m3u8
CCTV-4k,http://183.162.224.36:35455/nptv/cctv4k.m3u8
CCTV-8k,http://183.162.224.36:35455/nptv/cctv8k.m3u8
cct4欧洲,http://183.162.224.36:35455/mgtv/608807419.m3u8
cct4美洲,http://183.162.224.36:35455/mgtv/608807416.m3u8
CETV-01,http://183.162.224.36:35455/mgtv/923287154.m3u8
CETV-02,http://183.162.224.36:35455/mgtv/923287211.m3u8
CETV-04,http://183.162.224.36:35455/mgtv/923287339.m3u8
动作电影,http://183.162.224.36:35455/mgtv/644368714.m3u8
家庭影院,http://183.162.224.36:35455/mgtv/644368373.m3u8
影迷电影,http://183.162.224.36:35455/mgtv/952383261.m3u8
东方卫视,http://183.162.224.36:35455/mgtv/651632648.m3u8
江西卫视,http://183.162.224.36:35455/mgtv/783847495.m3u8
湖北卫视,http://183.162.224.36:35455/mgtv/947472496.m3u8
陕西卫视,http://183.162.224.36:35455/mgtv/738910838.m3u8
直播体育,http://183.162.224.36:35455/mgtv/654102378.m3u8 
CCTV-01,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1
CCTV-02,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2
CCTV-03,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3
CCTV-04,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4
CCTV-05,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5
CCTV-5+,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p
CCTV-06,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6
CCTV-07,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv7
CCTV-08,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv8
